"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Minority","Total","Firms with 4 to 5 years in business","2018","4","O","466","25,863","40.1","S","5.0","5.4"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Minority","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Minority","Total","Firms with 11 to 15 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Minority","Total","Firms with 16 or more years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Minority","Total","Firms with less than 2 years in business","2018","141","O","1,310","22,533","46.1","S","11.2","20.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Minority","Total","Firms with 2 to 3 years in business","2018","S","S","100,000 employees or more","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Minority","Total","Firms with 4 to 5 years in business","2018","87","R","8,075","98,920","81.1","S","74.9","19.4"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Minority","Total","Firms with 6 to 10 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Minority","Total","Firms with 11 to 15 years in business","2018","201","T","6,505","316,103","59.0","S","28.5","71.3"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Minority","Total","Firms with 16 or more years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Minority","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Minority","Total","Firms with 2 to 3 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Minority","Total","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Minority","Total","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Minority","Total","Firms with 11 to 15 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Minority","Total","Firms with 16 or more years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Equally minority/nonminority","Total","Firms with less than 2 years in business","2018","9","I","9","294","17.8","S","35.7","1.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Equally minority/nonminority","Total","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Equally minority/nonminority","Total","Firms with 6 to 10 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Equally minority/nonminority","Total","Firms with 11 to 15 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Equally minority/nonminority","Total","Firms with 16 or more years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Equally minority/nonminority","Total","Firms with 6 to 10 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Equally minority/nonminority","Total","Firms with less than 2 years in business","2018","9","I","9","294","17.8","S","35.7","1.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 6 to 10 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 11 to 15 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 16 or more years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Nonminority","Total","Firms with less than 2 years in business","2018","2,496","U","15,462","483,606","9.5","S","8.2","10.0"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","2,467","U","54,029","341,112","19.1","S","128.8","36.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","2,070","U","12,488","319,387","20.4","S","42.7","34.1"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","2,869","U","59,827","753,246","18.4","S","12.9","45.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","3,641","U","21,630","915,993","17.6","S","16.9","19.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Nonminority","Total","Firms with 16 or more years in business","2018","9,564","W","212,132","3,895,230","8.7","S","67.3","22.4"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Nonminority","Total","Firms with less than 2 years in business","2018","356","R","3,078","68,258","25.7","S","7.0","7.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","321","O","774","27,913","49.4","S","44.5","38.6"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Female","Total","Nonminority","Total","Firms with 16 or more years in business","2018","766","T","10,906","135,931","31.7","S","84.8","27.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Nonminority","Total","Firms with less than 2 years in business","2018","1,690","U","8,839","323,315","11.5","S","13.7","14.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","1,792","U","49,466","214,367","23.5","S","141.5","50.3"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","1,232","U","8,499","217,755","30.9","S","63.0","53.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","2,095","U","14,244","641,907","26.5","S","28.2","30.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Male","Total","Nonminority","Total","Firms with 16 or more years in business","2018","6,338","W","147,855","3,020,676","10.8","S","88.4","26.3"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Nonminority","Total","Firms with less than 2 years in business","2018","449","R","3,545","92,033","20.0","S","5.4","7.8"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","518","R","3,215","73,718","40.2","S","17.5","28.9"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","1,058","T","5,855","238,226","16.1","S","40.6","47.1"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Equally male/female","Total","Nonminority","Total","Firms with 16 or more years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Total","Veteran","Firms with less than 2 years in business","2018","99","O","1,377","21,829","1.6","S","3.5","1.7"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Total","Veteran","Firms with 2 to 3 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Total","Veteran","Firms with 4 to 5 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Total","Veteran","Firms with 6 to 10 years in business","2018","175","M","2,027","11,961","93.1","S","13.7","25.1"
"United States","11 (660)","Agriculture, forestry, fishing and hunting (660)","Total","Total","Total","Veteran","Firms with 11 to 15 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
